,Unnamed: 0_x,customerEmail,transactionId,orderId,paymentMethodId,paymentMethodRegistrationFailure,paymentMethodType,paymentMethodProvider,transactionAmount,transactionFailed,orderState,Unnamed: 0_y,customerPhone,customerDevice,customerIPAddress,customerBillingAddress,No_Transactions,No_Orders,No_Payments,Fraud,State
119,237,johnlowery@gmail.com,ao66pcnh,dd8z28,opyep1aoj,0,card,VISA 16 digit,37,0,fulfilled,7,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",6,5,2,True,WI
127,238,johnlowery@gmail.com,0ltw4chk,0b6r24,opyep1aoj,0,card,VISA 16 digit,30,0,fulfilled,7,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",6,5,2,True,WI
135,239,johnlowery@gmail.com,h1zprjml,0b6r24,opyep1aoj,0,card,VISA 16 digit,30,1,fulfilled,7,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",6,5,2,True,WI
143,240,johnlowery@gmail.com,aoyfjmwf,9eubwc,opyep1aoj,0,card,VISA 16 digit,12,0,fulfilled,7,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",6,5,2,True,WI
151,283,johnlowery@gmail.com,hjsrew5l,np906j,a8dggs0xt,0,card,JCB 16 digit,40,0,fulfilled,7,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",6,5,2,True,WI
159,284,johnlowery@gmail.com,e93zwysp,p1yimo,a8dggs0xt,0,card,JCB 16 digit,34,0,fulfilled,7,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",6,5,2,True,WI
167,566,johnlowery@gmail.com,t2tr0zve,1c0bds,hs3hemcz6,0,card,Maestro,47,0,fulfilled,7,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",6,5,2,True,WI
175,567,johnlowery@gmail.com,ckvws967,b8mpa4,hs3hemcz6,0,card,Maestro,22,0,fulfilled,7,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",6,5,2,True,WI
183,568,johnlowery@gmail.com,gzs6it77,b8mpa4,hs3hemcz6,0,card,Maestro,22,1,fulfilled,7,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",6,5,2,True,WI
191,569,johnlowery@gmail.com,soaefwfo,pc6hb6,8wpdnmsut,0,paypal,JCB 16 digit,46,0,fulfilled,7,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",6,5,2,True,WI
199,570,johnlowery@gmail.com,7df4i4c9,zxyice,hs3hemcz6,0,card,Maestro,46,0,fulfilled,7,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",6,5,2,True,WI
207,571,johnlowery@gmail.com,c5usmga3,oo68hd,hs3hemcz6,0,card,Maestro,34,0,fulfilled,7,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",6,5,2,True,WI
215,604,johnlowery@gmail.com,qio8vvq7,vcyuse,j3foo2l16,0,card,JCB 16 digit,35,0,fulfilled,7,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",6,5,2,True,WI
223,605,johnlowery@gmail.com,xi23rned,jhaub8,xpd7j7c5g,0,card,JCB 16 digit,13,0,fulfilled,7,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",6,5,2,True,WI
231,606,johnlowery@gmail.com,my4g00b1,7h0dat,xpd7j7c5g,0,card,JCB 16 digit,46,0,fulfilled,7,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",6,5,2,True,WI
239,607,johnlowery@gmail.com,g3bqf8xd,tc712d,j3foo2l16,0,card,JCB 16 digit,27,0,fulfilled,7,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",6,5,2,True,WI
247,29,jameslandry@rodriguez.com,idd9amrw,mtg9kj,yk3gx9knx,0,card,Discover,25,0,fulfilled,8,1-885-168-1310x338,yz4l2bgbvzra5eb5qcan,c899:ff67:6864:4365:def3:3023:655f:5181,"USNS Price
FPO AE 14661",5,2,1,False,
248,30,jameslandry@rodriguez.com,2ta3i8e2,1b71xd,yk3gx9knx,0,card,Discover,21,1,pending,8,1-885-168-1310x338,yz4l2bgbvzra5eb5qcan,c899:ff67:6864:4365:def3:3023:655f:5181,"USNS Price
FPO AE 14661",5,2,1,False,
249,31,jameslandry@rodriguez.com,8pssnrcy,1b71xd,yk3gx9knx,0,card,Discover,21,0,pending,8,1-885-168-1310x338,yz4l2bgbvzra5eb5qcan,c899:ff67:6864:4365:def3:3023:655f:5181,"USNS Price
FPO AE 14661",5,2,1,False,
250,32,jameslandry@rodriguez.com,ksmxqqg3,1b71xd,yk3gx9knx,0,card,Discover,21,1,pending,8,1-885-168-1310x338,yz4l2bgbvzra5eb5qcan,c899:ff67:6864:4365:def3:3023:655f:5181,"USNS Price
FPO AE 14661",5,2,1,False,
251,33,jameslandry@rodriguez.com,sihnojhc,1b71xd,yk3gx9knx,0,card,Discover,21,1,pending,8,1-885-168-1310x338,yz4l2bgbvzra5eb5qcan,c899:ff67:6864:4365:def3:3023:655f:5181,"USNS Price
FPO AE 14661",5,2,1,False,
252,34,bowenwilliam@yahoo.com,fkxbbt2y,a0dh26,4nt3vg6nr,0,card,Discover,40,0,fulfilled,10,(128)248-4091x37789,qmntgod0numz62gzbla7,231.91.253.19,"27061 Wright Forks
Craigland, MN 59915",6,5,1,True,MN
253,35,bowenwilliam@yahoo.com,i2xemksa,a0dh26,4nt3vg6nr,0,card,Discover,40,1,fulfilled,10,(128)248-4091x37789,qmntgod0numz62gzbla7,231.91.253.19,"27061 Wright Forks
Craigland, MN 59915",6,5,1,True,MN
254,36,bowenwilliam@yahoo.com,ud4zmsnq,izik2o,4nt3vg6nr,0,card,Discover,18,0,pending,10,(128)248-4091x37789,qmntgod0numz62gzbla7,231.91.253.19,"27061 Wright Forks
Craigland, MN 59915",6,5,1,True,MN
255,37,bowenwilliam@yahoo.com,wnlc7kcq,2sumqh,4nt3vg6nr,0,card,Discover,46,0,failed,10,(128)248-4091x37789,qmntgod0numz62gzbla7,231.91.253.19,"27061 Wright Forks
Craigland, MN 59915",6,5,1,True,MN
256,38,bowenwilliam@yahoo.com,uqgebkxo,kcmymd,4nt3vg6nr,0,card,Discover,12,0,fulfilled,10,(128)248-4091x37789,qmntgod0numz62gzbla7,231.91.253.19,"27061 Wright Forks
Craigland, MN 59915",6,5,1,True,MN
257,39,bowenwilliam@yahoo.com,9u7gmxy2,mocbj3,4nt3vg6nr,0,card,Discover,11,1,fulfilled,10,(128)248-4091x37789,qmntgod0numz62gzbla7,231.91.253.19,"27061 Wright Forks
Craigland, MN 59915",6,5,1,True,MN
258,40,ksummers@hotmail.com,46ijodjq,ji75jj,14t4urgqg,0,card,Discover,12,0,fulfilled,11,1-023-275-4692,2ngkzu1idwxintmxwmgn,184.97.57.11,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",7,5,4,False,DC
259,41,ksummers@hotmail.com,xo1gdp22,5lyh0x,anpl44kz2,0,card,American Express,30,0,fulfilled,11,1-023-275-4692,2ngkzu1idwxintmxwmgn,184.97.57.11,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",7,5,4,False,DC
260,42,ksummers@hotmail.com,33jfoo59,ha14ey,14t4urgqg,0,card,Discover,49,1,fulfilled,11,1-023-275-4692,2ngkzu1idwxintmxwmgn,184.97.57.11,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",7,5,4,False,DC
261,43,ksummers@hotmail.com,i8bk4lna,ha14ey,ahnb9wv33,0,card,VISA 13 digit,49,0,fulfilled,11,1-023-275-4692,2ngkzu1idwxintmxwmgn,184.97.57.11,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",7,5,4,False,DC
262,44,ksummers@hotmail.com,7p73brx2,ni3keo,ahnb9wv33,0,card,VISA 13 digit,45,1,fulfilled,11,1-023-275-4692,2ngkzu1idwxintmxwmgn,184.97.57.11,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",7,5,4,False,DC
263,45,ksummers@hotmail.com,i8zlhilq,vvo42o,12sooz8hm,0,bitcoin,Maestro,28,0,fulfilled,11,1-023-275-4692,2ngkzu1idwxintmxwmgn,184.97.57.11,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",7,5,4,False,DC
264,46,ksummers@hotmail.com,zwl18ddd,vvo42o,ahnb9wv33,0,card,VISA 13 digit,28,1,fulfilled,11,1-023-275-4692,2ngkzu1idwxintmxwmgn,184.97.57.11,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",7,5,4,False,DC
265,47,christineklein@wright-boyd.org,fgobyd98,abc26t,9pfrhknoz,0,bitcoin,VISA 16 digit,10,0,fulfilled,12,897-464-6425x941,j8cp1uydkuyza2eo0mir,4304:521a:e1c3:766b:21f3:ac3:4ab2:5a2,"67636 Renee Islands Suite 307
Teresaview, ND 09042",4,4,3,False,ND
266,48,christineklein@wright-boyd.org,c4fephmj,bdzhkd,ow9u8ogs4,0,card,VISA 16 digit,45,0,pending,12,897-464-6425x941,j8cp1uydkuyza2eo0mir,4304:521a:e1c3:766b:21f3:ac3:4ab2:5a2,"67636 Renee Islands Suite 307
Teresaview, ND 09042",4,4,3,False,ND
267,49,christineklein@wright-boyd.org,07hkhmmf,l8smyt,ow9u8ogs4,0,card,VISA 16 digit,46,0,fulfilled,12,897-464-6425x941,j8cp1uydkuyza2eo0mir,4304:521a:e1c3:766b:21f3:ac3:4ab2:5a2,"67636 Renee Islands Suite 307
Teresaview, ND 09042",4,4,3,False,ND
268,50,christineklein@wright-boyd.org,jz6qu6zy,0esxhp,ow9u8ogs4,0,card,VISA 16 digit,16,0,fulfilled,12,897-464-6425x941,j8cp1uydkuyza2eo0mir,4304:521a:e1c3:766b:21f3:ac3:4ab2:5a2,"67636 Renee Islands Suite 307
Teresaview, ND 09042",4,4,3,False,ND
269,51,meganwalters@chavez.com,bhil44kr,ooxrwm,o2ct2h9fp,0,card,Mastercard,43,1,fulfilled,13,(522)133-8741x643,qsxqbn6qjxkni7f813qn,98.229.160.246,"7541 Olson Glens
Ballshire, IL 29415",4,2,1,False,IL
270,52,meganwalters@chavez.com,nw0a0y9s,ooxrwm,o2ct2h9fp,0,card,Mastercard,43,0,fulfilled,13,(522)133-8741x643,qsxqbn6qjxkni7f813qn,98.229.160.246,"7541 Olson Glens
Ballshire, IL 29415",4,2,1,False,IL
271,53,meganwalters@chavez.com,enl54gvp,2p3zor,o2ct2h9fp,0,card,Mastercard,34,1,fulfilled,13,(522)133-8741x643,qsxqbn6qjxkni7f813qn,98.229.160.246,"7541 Olson Glens
Ballshire, IL 29415",4,2,1,False,IL
272,54,meganwalters@chavez.com,hkcfpxan,2p3zor,o2ct2h9fp,0,card,Mastercard,34,0,fulfilled,13,(522)133-8741x643,qsxqbn6qjxkni7f813qn,98.229.160.246,"7541 Olson Glens
Ballshire, IL 29415",4,2,1,False,IL
273,55,caleb94@sutton.info,n7vnyysr,49zp0m,5a44rykx3,0,card,VISA 16 digit,19,0,failed,14,07452086668,lixwrlvcr4g5ht600dk9,2efe:240f:cc33:306:8e47:b8d5:b466:f12a,"813 Miller Lakes
Lake Christina, SD 29778-1298",5,5,2,False,SD
274,56,caleb94@sutton.info,mx7hay87,eqpu3r,5a44rykx3,0,card,VISA 16 digit,46,0,fulfilled,14,07452086668,lixwrlvcr4g5ht600dk9,2efe:240f:cc33:306:8e47:b8d5:b466:f12a,"813 Miller Lakes
Lake Christina, SD 29778-1298",5,5,2,False,SD
275,57,caleb94@sutton.info,vby375q9,gzlvco,5a44rykx3,0,card,VISA 16 digit,39,0,fulfilled,14,07452086668,lixwrlvcr4g5ht600dk9,2efe:240f:cc33:306:8e47:b8d5:b466:f12a,"813 Miller Lakes
Lake Christina, SD 29778-1298",5,5,2,False,SD
276,58,caleb94@sutton.info,1ti2lm0o,p1yden,5a44rykx3,0,card,VISA 16 digit,35,0,fulfilled,14,07452086668,lixwrlvcr4g5ht600dk9,2efe:240f:cc33:306:8e47:b8d5:b466:f12a,"813 Miller Lakes
Lake Christina, SD 29778-1298",5,5,2,False,SD
277,59,caleb94@sutton.info,fwq4f8bn,bkvs1p,5a44rykx3,0,card,VISA 16 digit,46,0,failed,14,07452086668,lixwrlvcr4g5ht600dk9,2efe:240f:cc33:306:8e47:b8d5:b466:f12a,"813 Miller Lakes
Lake Christina, SD 29778-1298",5,5,2,False,SD
278,60,gonzalesjackson@gmail.com,zcnztn97,s7dg4a,7964l78jo,0,apple pay,VISA 16 digit,50,0,fulfilled,15,1-410-373-1228x129,hmkn4nmfc5q5mgify2zw,229.2.225.188,"566 Courtney Stream
Reedland, NH 84853",4,4,1,True,NH
279,61,gonzalesjackson@gmail.com,zx8st0gu,jlzkil,7964l78jo,0,apple pay,VISA 16 digit,41,0,fulfilled,15,1-410-373-1228x129,hmkn4nmfc5q5mgify2zw,229.2.225.188,"566 Courtney Stream
Reedland, NH 84853",4,4,1,True,NH
280,62,gonzalesjackson@gmail.com,fzvbpn58,f8bsyg,7964l78jo,0,apple pay,VISA 16 digit,44,0,fulfilled,15,1-410-373-1228x129,hmkn4nmfc5q5mgify2zw,229.2.225.188,"566 Courtney Stream
Reedland, NH 84853",4,4,1,True,NH
281,63,gonzalesjackson@gmail.com,1wa1s613,u3ogjs,7964l78jo,0,apple pay,VISA 16 digit,41,0,fulfilled,15,1-410-373-1228x129,hmkn4nmfc5q5mgify2zw,229.2.225.188,"566 Courtney Stream
Reedland, NH 84853",4,4,1,True,NH
282,64,dana09@yahoo.com,3cryzmi3,giqilg,ww9fq10ca,0,bitcoin,JCB 16 digit,12,0,fulfilled,16,515.708.2280x105,wb0uylp0rwy01x5j1jzd,166.148.66.158,"812 Moss Radial Suite 844
North Patriciaburgh, MH 13975",6,3,2,False,MH
283,65,dana09@yahoo.com,koade5oa,giqilg,1lejsiqz7,0,card,JCB 16 digit,12,1,fulfilled,16,515.708.2280x105,wb0uylp0rwy01x5j1jzd,166.148.66.158,"812 Moss Radial Suite 844
North Patriciaburgh, MH 13975",6,3,2,False,MH
284,66,dana09@yahoo.com,2yzkbxnq,g56nmt,ww9fq10ca,0,bitcoin,JCB 16 digit,33,0,fulfilled,16,515.708.2280x105,wb0uylp0rwy01x5j1jzd,166.148.66.158,"812 Moss Radial Suite 844
North Patriciaburgh, MH 13975",6,3,2,False,MH
285,67,dana09@yahoo.com,okdmow3s,g56nmt,1lejsiqz7,0,card,JCB 16 digit,33,1,fulfilled,16,515.708.2280x105,wb0uylp0rwy01x5j1jzd,166.148.66.158,"812 Moss Radial Suite 844
North Patriciaburgh, MH 13975",6,3,2,False,MH
286,68,dana09@yahoo.com,wt1g1zul,g56nmt,ww9fq10ca,0,bitcoin,JCB 16 digit,33,1,fulfilled,16,515.708.2280x105,wb0uylp0rwy01x5j1jzd,166.148.66.158,"812 Moss Radial Suite 844
North Patriciaburgh, MH 13975",6,3,2,False,MH
287,69,dana09@yahoo.com,scls9w4j,2ai67b,1lejsiqz7,0,card,JCB 16 digit,40,0,fulfilled,16,515.708.2280x105,wb0uylp0rwy01x5j1jzd,166.148.66.158,"812 Moss Radial Suite 844
North Patriciaburgh, MH 13975",6,3,2,False,MH
288,70,alec27@bell.com,jbnf5zpw,28xxko,6n2psn50k,0,card,Voyager,34,0,pending,17,895-224-8246x9667,cq5wya63n1w79o0hlnpm,128.61.46.131,"6174 Nicholas Cliffs Suite 855
Websterview, MN 44283-0599",6,4,2,False,MN
289,71,alec27@bell.com,60kuyxra,iyl91j,6n2psn50k,0,card,Voyager,12,0,fulfilled,17,895-224-8246x9667,cq5wya63n1w79o0hlnpm,128.61.46.131,"6174 Nicholas Cliffs Suite 855
Websterview, MN 44283-0599",6,4,2,False,MN
290,72,alec27@bell.com,gj13pt1o,j7ene4,6n2psn50k,0,card,Voyager,30,0,fulfilled,17,895-224-8246x9667,cq5wya63n1w79o0hlnpm,128.61.46.131,"6174 Nicholas Cliffs Suite 855
Websterview, MN 44283-0599",6,4,2,False,MN
291,73,alec27@bell.com,u6wa5ysx,j7ene4,6n2psn50k,0,card,Voyager,30,1,fulfilled,17,895-224-8246x9667,cq5wya63n1w79o0hlnpm,128.61.46.131,"6174 Nicholas Cliffs Suite 855
Websterview, MN 44283-0599",6,4,2,False,MN
292,74,alec27@bell.com,vfrua0id,j7ene4,366dsl3w0,0,card,VISA 16 digit,30,1,fulfilled,17,895-224-8246x9667,cq5wya63n1w79o0hlnpm,128.61.46.131,"6174 Nicholas Cliffs Suite 855
Websterview, MN 44283-0599",6,4,2,False,MN
